x-axis,2
second,Volt
-24.60000E-06,+237.00000346E-03
-24.57500E-06,+243.25000355E-03
-24.55000E-06,+237.00000346E-03
-24.52500E-06,+243.25000355E-03
-24.50000E-06,+237.00000346E-03
-24.47500E-06,+243.25000355E-03
-24.45000E-06,+243.25000355E-03
-24.42500E-06,+237.00000346E-03
-24.40000E-06,+237.00000346E-03
-24.37500E-06,+243.25000355E-03
-24.35000E-06,+237.00000346E-03
-24.32500E-06,+243.25000355E-03
-24.30000E-06,+237.00000346E-03
-24.27500E-06,+243.25000355E-03
-24.25000E-06,+237.00000346E-03
-24.22500E-06,+243.25000355E-03
-24.20000E-06,+249.50000364E-03
-24.17500E-06,+243.25000355E-03
-24.15000E-06,+243.25000355E-03
-24.12500E-06,+243.25000355E-03
-24.10000E-06,+243.25000355E-03
-24.07500E-06,+249.50000364E-03
-24.05000E-06,+243.25000355E-03
-24.02500E-06,+237.00000346E-03
-24.00000E-06,+243.25000355E-03
-23.97500E-06,+249.50000364E-03
-23.95000E-06,+243.25000355E-03
-23.92500E-06,+237.00000346E-03
-23.90000E-06,+237.00000346E-03
-23.87500E-06,+249.50000364E-03
-23.85000E-06,+243.25000355E-03
-23.82500E-06,+237.00000346E-03
-23.80000E-06,+255.75000374E-03
-23.77500E-06,+243.25000355E-03
-23.75000E-06,+249.50000364E-03
-23.72500E-06,+249.50000364E-03
-23.70000E-06,+249.50000364E-03
-23.67500E-06,+243.25000355E-03
-23.65000E-06,+249.50000364E-03
-23.62500E-06,+243.25000355E-03
-23.60000E-06,+249.50000364E-03
-23.57500E-06,+249.50000364E-03
-23.55000E-06,+255.75000374E-03
-23.52500E-06,+249.50000364E-03
-23.50000E-06,+255.75000374E-03
-23.47500E-06,+249.50000364E-03
-23.45000E-06,+249.50000364E-03
-23.42500E-06,+249.50000364E-03
-23.40000E-06,+255.75000374E-03
-23.37500E-06,+249.50000364E-03
-23.35000E-06,+249.50000364E-03
-23.32500E-06,+249.50000364E-03
-23.30000E-06,+249.50000364E-03
-23.27500E-06,+249.50000364E-03
-23.25000E-06,+249.50000364E-03
-23.22500E-06,+255.75000374E-03
-23.20000E-06,+262.00000383E-03
-23.17500E-06,+249.50000364E-03
-23.15000E-06,+249.50000364E-03
-23.12500E-06,+218.25000318E-03
-23.10000E-06,+199.50000290E-03
-23.07500E-06,+218.25000318E-03
-23.05000E-06,+237.00000346E-03
-23.02500E-06,+255.75000374E-03
-23.00000E-06,+268.25000392E-03
-22.97500E-06,+230.75000336E-03
-22.95000E-06,+249.50000364E-03
-22.92500E-06,+249.50000364E-03
-22.90000E-06,+237.00000346E-03
-22.87500E-06,+274.50000402E-03
-22.85000E-06,+268.25000392E-03
-22.82500E-06,+262.00000383E-03
-22.80000E-06,+262.00000383E-03
-22.77500E-06,+268.25000392E-03
-22.75000E-06,+249.50000364E-03
-22.72500E-06,+249.50000364E-03
-22.70000E-06,+237.00000346E-03
-22.67500E-06,+243.25000355E-03
-22.65000E-06,+230.75000336E-03
-22.62500E-06,+224.50000327E-03
-22.60000E-06,+224.50000327E-03
-22.57500E-06,+224.50000327E-03
-22.55000E-06,+224.50000327E-03
-22.52500E-06,+212.00000308E-03
-22.50000E-06,+212.00000308E-03
-22.47500E-06,+205.75000299E-03
-22.45000E-06,+199.50000290E-03
-22.42500E-06,+193.25000281E-03
-22.40000E-06,+193.25000281E-03
-22.37500E-06,+187.00000271E-03
-22.35000E-06,+187.00000271E-03
-22.32500E-06,+180.75000262E-03
-22.30000E-06,+174.50000253E-03
-22.27500E-06,+174.50000253E-03
-22.25000E-06,+180.75000262E-03
-22.22500E-06,+174.50000253E-03
-22.20000E-06,+168.25000243E-03
-22.17500E-06,+174.50000253E-03
-22.15000E-06,+168.25000243E-03
-22.12500E-06,+168.25000243E-03
-22.10000E-06,+162.00000234E-03
-22.07500E-06,+162.00000234E-03
-22.05000E-06,+162.00000234E-03
-22.02500E-06,+155.75000225E-03
-22.00000E-06,+162.00000234E-03
-21.97500E-06,+149.50000215E-03
-21.95000E-06,+155.75000225E-03
-21.92500E-06,+149.50000215E-03
-21.90000E-06,+149.50000215E-03
-21.87500E-06,+143.25000206E-03
-21.85000E-06,+143.25000206E-03
-21.82500E-06,+143.25000206E-03
-21.80000E-06,+137.00000197E-03
-21.77500E-06,+137.00000197E-03
-21.75000E-06,+137.00000197E-03
-21.72500E-06,+130.75000187E-03
-21.70000E-06,+124.50000178E-03
-21.67500E-06,+118.25000169E-03
-21.65000E-06,+124.50000178E-03
-21.62500E-06,+124.50000178E-03
-21.60000E-06,+118.25000169E-03
-21.57500E-06,+112.00000159E-03
-21.55000E-06,+112.00000159E-03
-21.52500E-06,+112.00000159E-03
-21.50000E-06,+118.25000169E-03
-21.47500E-06,+105.75000150E-03
-21.45000E-06,+112.00000159E-03
-21.42500E-06,+105.75000150E-03
